,Lyrics
10,"Crazy to think that a man can't hurt
Love takes its toll every time it don't work, yeah
One door closes and another opens
But it's hard to let go when your heart's broken
I'll give you my trust, can you give me your word?


Come take my heart of glass
And give me your love
I hope you'll still be there
To pick the pieces up
'Cause baby I'm fragile, fragile, fragile
'Cause baby I'm fragile, fragile, fragile


After he left you in ten times ten
Could I put you back together again? Yeah
One door closes and another opens
But I won't let go cause I'm not like him
Baby just say the words, let the love begin


Come take my heart of glass
And give me your love
I hope you'll still be there
To pick the pieces up
'Cause baby I'm fragile, fragile, fragile
'Cause baby I'm fragile, fragile, fragile


Oh oh hey
Oh oh oh oh, oh oh oh oh, say love, say love
Oh oh oh oh, oh oh oh oh, say love, say love
Oh oh oh oh, oh oh oh oh, say love, say love
Oh oh oh oh, oh oh oh oh, say love, say love


Yeah, you will take yours and mine
I got your heart of glass
You've got my love
I know we'll still be there
To pick the pieces up
'Cause baby we're fragile, fragile, fragile
'Cause baby we're fragile, fragile, fragile


Oh oh hey
Oh oh oh oh, oh oh oh oh, say love, say love
Oh oh oh oh, oh oh oh oh, say love, say love
Oh oh oh oh, oh oh oh oh, say love, say love
Oh oh oh oh, oh oh oh oh, say love, say love


Oh yeah
Oh yeah
Oh yeah
Oh yeah
Oh yeah
Oh yeah"
11,"Family


I know water that's thicker than blood
That's deeper than love with my friends
People come and some people go
And some people ride 'til the end


When I am blind, in my mind
I swear they'd be my rescue, my lifeline
I don't know what I'd do if I, if I'd survive
My brothers and my sisters in my life, yeah


I know some people, they would die for me
We run together, they're my family
When I get up, they gon' be high with me
I'll say forever, my family


Family
I'll say forever, my family
Family
I'll say forever, my family


Stolen dreams took our, our childish days
Still, ain't nothin' changed, now we're grown
We're still young, still got our mindless ways
In a timeless phase, kickin' stones


When I am blind, in my mind
I swear they'd be my rescue, my lifeline
I don't know what I'd do if I, if I'd survive
My brothers and my sisters in my life, yeah


I know some people, they would die for me 

We run together, they're my family
When I get up, they gon' be high with me 

I'll say forever, my family


Family
I'll say forever, my family
Family
I'll say forever, my family


I know some people, they would die for me 

We run together, they're my family
When I get up, they gon' be high with me 

I'll say forever, my family"
12,"Beautiful, beautiful, no other name
I knew from the moment you came
I've seen in your eyes the dawn of a day
Where nothing will ever be the same


Feel my heart beating through my chest
I'll get used to just saying ""yes""
Yes, I'll love you with all I am
Yes, tonight is where we began


Ooh, I wanna dance with you
Ooh, I'll promise to stand for you oh oh oh
Ooh ooh ooh I'll do anything for you
Oh yeah, oh yeah, tonight, my love all I want
I wanna sing for you
Yeah, I'll sing for you
Happy birthday, baby
Happy birthday to you
Happy birthday, baby
Happy birthday to you


Wrap you in love for the rest of my days
Pray you find joy through your pain
I can't protect you from every heartbreak
The world isn't easy that way


But I'll be there for you when you crawl
Dad
 will pick you up when you fall
Yes, I'll love you with all I am
Yes, tonight is where we began


Ooh, I wanna dance with you
Ooh, I'll promise to stand for you oh oh oh
Ooh ooh ooh I'll do anything for you
Oh yeah, oh yeah, tonight, my love all I want
I wanna sing for you
Yeah, I'll sing for you
Happy birthday, baby
Happy birthday to you
Happy birthday, baby
Happy birthday to you


Oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh


Beautiful, beautiful, no other name
I knew from the moment you came"
13,"Thought I could leave you cause I felt my heart numbing
It hits so deep, I closed my eyes and I just took off running
I turned around and saw the look on your face
So I stayed, stayed


But I don’t need you and you should know that, baby
It'd take a miracle for you to really try and change me
And I felt sorry for the look on your face
So I stayed, stayed


So I stayed, stayed
So I stayed, stayed


You wanna leave her, don’t wanna hurt nobody
I don’t believe a single word you say or that you’re sorry
Why can’t I say no to the look on your face?
I just stay, stay


So I stayed, stayed
So I stayed, stayed


You push me away, push me away
But I always stay, I always stay, yeah
You push me away, push me away
But I always stay, I always stay
But I always stay, I always stay, yeah
You push me away, push me away
But I always stay, I always stay, yeah
You push me away, push me away
But I always stay, I always stay
But will you, will you, will you?


So I stayed, stayed
So I stayed, stayed


I stay, I stay
Oh why do I stay?
So I stayed, stayed"
14,"Wake me up
My eyes are heavy and I need some sun
One hit, I'm ready for whatever comes
Nothing can keep me from you
Nothing can keep me from you
Something 'bout the things you told me
Oh, I wrote 'em down, yeah
I took on with me to the place we found
And I'll be waiting for you
Yeah, I'll be waiting for you, for you


I follow the moon
From the dark to the break of dawn
We let it loose
Smoking weed and writing songs


Meet me at the sunrise, at the sunrise
I can get you so high, so high
Burning up the daylight, in the daylight
Meet me at the sunrise, sunrise


Call my name
'Cause I'm so lost and I don't know this place
And I got this feeling that I just can't shake
Nothing can keep me from you
Nothing can keep me from you


I follow the moon
From the dark to the break of dawn
We let it loose
Smoking weed and writing songs


Meet me at the sunrise, at the sunrise
I can get you so high, so high
Burning up the daylight, in the daylight
Meet me at the sunrise, sunrise


Meet me at the sunrise, at the sunrise
I can get you so high, so high
Burning up the daylight, in the daylight
Meet me at the sunrise, sunrise"
15,"It's a classic me mistake
Someone gives me love, and I throw it all away
Tell me, have I gone insane?
Talkin' to myself, but I don't know what to say


'Cause you let go
And now I'm holdin' on
I guess you don't know what you got
Until it's gone


Sometimes, you gotta lose somebody
Just to find out you really love someone
Oh, and I do, and I do, and I do, yeah
Sometimes, you gotta lose somebody
Just to find out you really love someone
Oh, yeah
Sometimes, you gotta lose somebody


So don't tell me it's too late
Hearts are made to bend
Baby, please don't let me break, yeah
I knew I should've stayed
'Cause now, you're movin' on
And I don't know what to say


'Cause you let go 

And now I'm holdin' on 

I guess you don't know what you got
Until it's gone


Sometimes, you gotta lose somebody
Just to find out you really love someone
Oh, and I do, and I do, and I do, yeah
Sometimes, you gotta lose somebody 

Just to find out you really love someone
Oh, yeah
Sometimes, you gotta lose somebody


Hey yeah, hey yeah, hey yeah
Sometimes, you gotta lose somebody, yeah
Hey yeah, hey yeah, hey yeah
Sometimes, you gotta lose somebody, yeah
Hey yeah, hey yeah, hey yeah
Sometimes, you gotta lose somebody, yeah
Hey yeah, hey yeah, hey yeah
Sometimes, you gotta lose somebody, yeah


Sometimes, you gotta lose somebody
Just to find out you really love someone
Oh, and I do, and I do, and I do, yeah
Sometimes, you gotta lose somebody 

Just to find out you really love someone
Oh, yeah
Sometimes, you gotta lose somebody


Hey yeah, hey yeah, hey yeah
Hey yeah, hey yeah, hey yeah
Hey yeah, hey yeah, hey yeah
Hey yeah, hey yeah, hey yeah
Ooh, ooh
You gotta lose some
You gotta lose somebody"
16,"Maybe you should leave this girl alone
But you wo-o-on't
But you do-o-on't
Now delete my number from your phone
But you wo-o-on't
You gotta go-o-o, oh
Line by line, gotta spell it right out 



I don't know what you're looking for
But I don't think it's me
I wish I could give you my all
Not caught in make believe
I don't feel how you feel
I'm just telling it like it is
I don't need you to say those words no more


I'm just tellin' it like it is
I'm just tellin' it, tellin' it
I'm just tellin' it like it is
I'm just tellin' it, tellin' it
I'm just tellin' it like it is
I'm just tellin' it, tellin' it
I'm just tellin' it like it is
I'm just tellin' it, tellin' it
I'm just tellin' it like it is
[Verse 2: Tyga, 
Zara Larsson
]
Yeah, hold on wait a minute, let's make this right 

You're the only one thing that I need in my life 

And I ain't never met a girl like you before 

I could tell you everything if you need to know 

We was perfect before and I made mistakes 

Told you I was all in, we can raise the stakes
Even though I'm a player, I ain't contemplate
Now you on a vacay, hotel, heartbreak (Ah, ah, 
oh
)
Champagne, all day, on me, oh yeah (
Ah
)
Miami with your friends, you ain't worried 'bout me (
'Bout you
)
Got a room with a suite, so drunk, lose the key (
Oh
)
And I know we ain't over so, the ring, you can keep, ayy
We be right back tomorrow night 
, yeah
It's for life, you know we ride or die 
, yeah
Single for the night but you still mine
And I'ma chill with this shawty just to kill the time, you know


I'm just tellin' it like it is
I'm just tellin' it, tellin' it
I'm just tellin' it like it is
I'm just tellin' it, tellin' it
I'm just tellin' it like it is
I'm just tellin' it, tellin' it
I'm just tellin' it like it is
I'm just tellin' it, tellin' it
I'm just tellin' it like it is 

I'm just tellin' it, tellin' it
I'm just tellin' it like it is
I'm just tellin' it, tellin' it
I'm just tellin' it like it is"
17,"Standing in the cold in the frozen wind
I'm leaving you behind but it's not the end
No, no, no
Walking on a plane as I hold my breath
It's gonna be weeks 'til I breathe again
No, no, no


I know that you hate it
And I hate it just as much as you
But if you can brave it, I can brave it
Brave it all for you


Call me anytime that you see the lightning
Don't you feel alone, you can always find me
We've got a wild love raging, raging
Lost among a million changing faces
Every day our hearts keep trading places
We've got a wild love raging, raging


Raging, raging
Raging, raging
Raging, raging


Checking into hotel loneliness
It's not what I've been used to, I confess
To wake up three times a night
Talking to a stranger's nothing new
She knows how to smile, but not like you
So I wait for you all night


I know that you hate it
And I hate it just as much as you
But if you can brave it, I can brave it
Brave it all for you


Call me anytime that you see the lightning
Don't you feel alone, you can always find me
We've got a wild love raging, raging
Lost among a million changing faces
Every day our hearts keep trading places
We've got a wild love raging, raging


Raging, raging


Call me anytime that you see the lightning
Don't you feel alone, you can always find me
We've got a wild love raging, raging
Rolling on the wind with you forever
Holding onto us for worse or better
We've got a wild love raging, raging


Raging, raging
Raging, raging


Call me anytime that you see the lightning
Never feel alone, you can always find me
We've got a wild love raging, raging"
18,"I'm in love, I'm in love, I'm in love, I'm in love
I'm in love, I'm in love, I'm in love, I'm in love
I'm in love, I'm in love, I'm in love, I'm in love
I'm in love, I'm in love, I'm in love, I'm in love
I'm in love, I'm in love,I'm in love, I'm in love
I'm in love, I'm in love, I'm in love


Not enough, I see you waiting
Your hands up, your body's shaking
That hard look, I know you're faking
I know you lie, I've seen you lying
With four months in front of me
And now we're same old enemies
It's cold blooded, come back to me
Come back to me


I know you couldn't stand to be here on your own
You, you never last without someone to hold
Now you're crawling back, you forget what you are
Know you and your heart are nothing, your heart
You say you're running back and you're caught in a lie
Say you'd rather die when there's someone to blame
Now there's nothing left, you forget what you claim
Know you and your heart are nothing, your heart are nothing


I'm in love, I'm in love, I'm in love, I'm in love
I'm in love, I'm in love, I'm in love
I'm in love 
, I'm in love 

I'm in love 
, I'm in love 

I'm in love 
, I'm in love 

I'm in love 



It's not enough, I see you waiting
Your hands up, your body's shaking
That hard look, I know you're faking
I know you lie, I've seen you lying
With four months in front of me
And now we're same old enemies
It's cold blooded, come back to me
Come back to me


I know you couldn't stand to be here on your own
You, you never last without someone to hold
Now you're crawling back, you forget what you are
Know you and your heart are nothing, your heart
You say you're running back and you're caught in a lie
Say you'd rather die when there's no one to blame
Now there's nothing left, you forget what you claim
Know you and your heart are nothing, your heart are nothing
I'm in love, I'm in love..."
19,"We've been quiet
Said we'd try it for a while
But that was years ago


If you see me, if I see you, mmm
A part of me hopes that we do, no
Say everything we wanted to
After all this time


I cut the tree down that we grew
You know the one we carved our names into?
Still I can't go back to the places we knew
'Cause they ask me if I still think about you
Only all the time


I still think about you, think about you
Only all the time, mmm
I still think about you, think about you
Only all the time
Only all the time
I still think about you, think about you
Only all the time


I still think about you, think about you
Only all the time
I still think about you, think about you
Only all the time


Hometown drivin', autopilot
My phone's on silent in case you call


If you see me, if I see you, mmm
A part of me hopes that we do, no
Say everything we wanted to
After all this time


I cut the tree down that we grew
You know the one we carved our names into?
Still I can't go back to the places we knew
'Cause they ask me if I still think about you
Only all the time


I still think about you, think about you
Only all the time, time, time, time
I still think about you, think about you
Only all the time


I still think about you, think about you
Only all the time
I still think about you, think about you
Only all the time
I still think about you, think about you
Only all the time
I still think about you, think about you
Only all the time"
20,"Every time I see your face
There's a cloud hanging over you
In such a beautiful way
There's a poetry to your solitude


Oh, you should let me love you
Hold me now, forevermore
Oh, I've been thinking of you
Tell me I'm forever yours
Oh, you should let me love you
Hold me now, forevermore
Oh, I've been thinking of you
Tell me I'm forever yours


Tell me I'm forever yours
Tell me I'm forever yours


And you won't ever have to try
To live by everybody else's rules
It'll be just you and I
Together in the altitude


Oh, you should let me love you
Hold me now, forevermore
Oh, I've been thinking of you
Tell me I'm forever yours
Oh, you should let me love you
Hold me now, forevermore
Oh, I've been thinking of you
Tell me I'm forever yours


Tell me I'm forever yours
Tell me I'm forever yours
Tell me I'm forever yours
Tell me I'm forever yours


You should let me love ya, love ya
You should let me love ya, love ya"
21,"You, to carry on for you, for you


Walking alone and the shores are longing
I miss your footprints next to mine
Sure as the waves on the sand are washing
Your rhythm keeps my heart in time


You, you found me
Made me into something new
Led me through the deepest waters
I promise loud to carry on for you


You, to carry on for you, for you
You, to carry on for you, for you
I'll carry on for you


Talk to the wind on the open ocean
I wonder if you hear me too?
Wrapped in my arms with every moment, yeah
The memories that pull me through


You, you found me
Made me into something new 

Led me through the deepest waters
I promise loud to carry on to you 



You, to carry on for you, for you
To carry on for you
You, to carry on for you, for you
I'll carry on for you


You, you found me 

Made me into something new 

Led me through the deepest waters 

I promise loud to carry on for you 



You, to carry on for you, for you
You, to carry on for you, for you


Keep me running, keep me coming back to you
Hold me harder, love me like you know you do
Keep me running, keep me coming back to you
Hold me harder, love me like you know you do


You, you found me
Made me into something new
Led me through the deepest waters
I promise loud to carry on for you


You, to carry on for you, for you
You, to carry on for you, for you
In the deepest waters
Oh, I'll carry on for you"
22,"Bring me higher love, love
Bring me higher love


Think about it, there must be a higher love
Down in the heart or hidden in the stars above
Without it, life is wasted time
Look inside your heart, and I'll look inside mine


Things look so bad everywhere
In this whole world, what is fair?
We walk the line and try to see
Falling behind in what could be, oh


Bring me a higher love
Bring me a higher love, oh
Bring me a higher love
Where's that higher love I keep thinking of?


Bring me higher love, love
Bring me higher love 

Bring me higher love, love
Bring me a higher love
Bring me higher love, love
Bring me higher love 

Bring me higher love, love
Bring me a higher love


Worlds are turning, and we're just hanging on
Facing our fear, and standing out there alone
A yearning, yeah, and it's real to me
There must be someone who's feeling for me


Things look so bad everywhere
In this whole world, what is fair?
We walk the line and try to see
Falling behind in what could be, oh


Bring me a higher love 

Bring me a higher love, oh 

Bring me a higher love 

Where's that higher love I keep thinking of?


Bring me higher love, love
Bring me higher love 

Bring me higher love, love
Bring me a higher love


Bring me a higher love 

Bring me a higher love, oh 

Bring me a higher love 

A higher love I keep thinking of, oh




Bring me higher love, love


Bring me higher love 



Bring me higher love, love
A higher love I keep thinking of, oh


Bring me a higher love


Bring me a higher love, oh

"
23,"Tell me that you need me
To help you find a way
Through all of this madness
Can I be your light of day?
Please, won't you believe me?
Even if you don't agree
Know that I am trying
To help us all break free


Oh, there'll be nothing left for no one, no
There'll be nothing left for no one
If you don't stop living your life
Turned to one side with a blind eye
There'll be nothing left for no one
For no one


I'm saying that I'm sorry
For things I've said and done
But I don't want to be here
If I'm, I'm looking down a gun


Oh, there'll be nothing left for no one, no
There'll be nothing left for no one
If you don't stop living your life
Turned to one side with a blind eye
There'll be nothing left for no one
For no one






Left for no one
Left for no one






There'll be nothing left for no one
For no one"
24,"You just, you made it look easy
It's like you didn't feel it
Not like I do
I followed, I followed the pieces
I tried to receive it
To when it was new


Wanna get out, wanna feel like somebody
But nothing else ever feels like your body
'Cause we held the world, we were turning it
For a moment there, it was permanent
I drive the streets where you told me your secrets
We made mistakes, but we both didn't mean it
And we held the world, we were turning it
For a moment there, it was permanent


I'll bet, I'll bet you're in Soho
Dancing in slow-mo
With someone new, oh
I can't lie, I, I hope you'll never forget it
And that you still wear it
Like all your tattoos


Wanna get out, wanna feel like somebody
But nothing else ever feels like your body
'Cause we held the world, we were turning it
For a moment there, it was permanent
I drive the streets where you told me your secrets
We made mistakes, but we both we didn't mean it
And we held the world, we were turning it
For a moment there, it was permanent


Permanent
Permanent
Permanent
For a moment there
It was permanent"
25,"Emotions like summer
We'll wait for a blue sky
And I turn and hold you
As we watch the sunrise
'Cause this is amazing
Running wild with you
My thoughts are hazy
This may be way too soon


But I will never let you go
Never let you go, oh no
I will never let you go
Never let you go, no oh


I'm so lost in these summer nights
So lost in your crystal light
And even when this night is day
I won't regret the words I'm saying


Yeah, I will never let you go
Never let you go, oh no
I will never let you go
Never let you go, no oh


Through the longest of time, I will never let you go


If we fall off down the line, I will always keep a hold


Through the longest of time, I will never let you go


If we fall off down the line, I will always keep a hold, oh-no


But I will never let you go
Never let you go, oh no!
I will never let you go
Never let you go, no oh"
26,"Sunset rolling, summer stolen
We'll never be so young
Checking wishes, shock on kisses
Tripping off my tongue


See I'm giving up the fire
They said it was too late for us
But we are coming back to life
A little every time we touch
I wanna run away tonight
I feel like I'm in love with you
Tomorrow we can face the lie
Right now, let's just


Cruise
Cruise
Cruise
Cruise


Open windows, all four fingers
Dancing on the wind
My heart's thumping, goosebumping
All over my skin


See I'm giving up the fight
They said it was too late for us
But we are coming back to life
A little every time we touch
I wanna run away tonight
I feel like I'm in love with you
Tomorrow we can face the lie
Right now, let's just


Cruise
Cruise
Cruise
Cruise
Cruise
Cruise
Cruise
Cruise
Cruise"
